components,compound_class,toxicity,solubility,stability,confidence,novelty_flag,feedback_text,verified
Alcohol+Amine,Amide,Low,High,Medium,0.82,Seen,User verified,Yes
Acid+Alcohol,Ester,Medium,Medium,Medium,0.75,Seen,Classical ester-type interaction,Yes
Base+Acid,Salt,Low,High,High,0.88,Seen,Stable ionic interaction,Yes
Amine+Acid,Salt,Low,High,High,0.85,Seen,Neutralization behavior,Yes
Alcohol+Aldehyde,Alcoholic Compound,Medium,Medium,Low,0.68,Seen,Predicted alcohol derivative,Yes
Alcohol+Ketone,Alcoholic Compound,Medium,Medium,Medium,0.7,Seen,Secondary interaction pattern,Yes
Aldehyde+Ketone,Unknown,High,Low,Low,0.55,Seen,Low stability theoretical compound,Yes
Amine+Ketone,Unknown,Medium,Low,Low,0.57,Seen,Weak interaction observed,Yes
Alcohol+Acid+Amine,Unknown,Medium,Medium,Low,0.6,Novel,Multi-component theoretical compound,No
Base+Acid+Alcohol,Unknown,Low,Medium,Medium,0.62,Novel,Predicted mixed interaction,No
Amine+Ketone+Aldehyde,Unknown,High,Low,Low,0.52,Novel,Low confidence prediction,No
Alcohol+Amine+Ketone,Unknown,Medium,Medium,Low,0.59,Novel,Backtracking-based combination,No
Acid+Aldehyde,Unknown,High,Low,Low,0.54,Seen,Reactive theoretical compound,Yes
Base+Ketone,Unknown,Medium,Low,Medium,0.61,Seen,Moderate interaction strength,Yes
Alcohol+Base,Unknown,Low,High,Medium,0.72,Seen,Weak base-alcohol interaction,Yes
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,User verified,Yes
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,User verified,Yes
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,User verified,Yes
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,User verified,Yes
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,High,Medium,0.55,Novel,Auto-generated prediction,No
Amine+Carboxylic Acid+Aromatic Ring,Unknown,Low,High,Low,0.48,Novel,Auto-generated prediction,No
Amine+Carboxylic Acid+Aromatic Ring,Unknown,Low,High,Low,0.48,Novel,Auto-generated prediction,No
Amine+Carboxylic Acid+Aromatic Ring,Unknown,Low,High,Low,0.48,Novel,Auto-generated prediction,No
Alcohol+Amine,Amide,Low,Medium,High,0.85,Novel,Added from UI,No
Alcohol+Amine,Amide,Low,Medium,High,0.85,Novel,Added from UI,No
Alcohol+Amine,Amide,Low,Medium,High,0.85,Novel,Added from UI,No
components,compound_class,toxicity,solubility,stability,confidence,novelty_flag,feedback_text,verified
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.87,Seen,Rule-consistent known chemical class,Yes
Alkyne+Halide,Unknown,High,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Medium,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Alkyne,Alkyne,Medium,Medium,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Alkyne+Aromatic Ring,Unknown,Medium,Low,High,0.43,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Medium,Low,0.9,Seen,Rule-consistent known chemical class,Yes
Alkyne+Amine+Sulfonamide,Unknown,Low,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Aldehyde+Sulfide,Unknown,Medium,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Amide+Halide+Phenol,Unknown,High,High,High,0.69,Novel,Predicted theoretical compound,No
Alkene+Ketone,Unknown,Low,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Amine+Sulfide,Unknown,Medium,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Halide+Phenol+Sulfide,Unknown,High,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Alkene+Sulfide,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Amine+Thiol,Unknown,Medium,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Ketone+Nitrile,Unknown,Medium,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Amide+Carboxylic Acid+Halide,Unknown,High,High,High,0.46,Novel,Predicted theoretical compound,No
Alkyne+Heterocycle+Ketone,Unknown,Medium,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Alkyne+Ether+Ketone,Unknown,Medium,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Low,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Phenol,Unknown,Low,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Amide+Nitrile+Sulfide,Unknown,Medium,High,High,0.44,Novel,Predicted theoretical compound,No
Alcohol+Thiol,Unknown,Medium,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Low,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Alkyne+Aromatic Ring,Unknown,Medium,Low,High,0.67,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Phenol,Unknown,Low,Low,High,0.5,Novel,Predicted theoretical compound,No
Ether,Unknown,Medium,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Amide+Ester+Sulfide,Unknown,Medium,High,High,0.5,Novel,Predicted theoretical compound,No
Ether+Ketone+Sulfonamide,Unknown,Medium,Low,Medium,0.58,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Amine+Heterocycle,Unknown,Low,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Aldehyde+Heterocycle+Sulfide,Unknown,Medium,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Low,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Alkyne+Sulfide+Thiol,Unknown,Medium,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Amine+Ether,Unknown,Low,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Low,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Carboxylic Acid,Unknown,Medium,High,Medium,0.41,Novel,Predicted theoretical compound,No
Aldehyde+Nitro+Sulfonamide,Unknown,High,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Acid Chloride+Carboxylic Acid,Unknown,Medium,High,Low,0.44,Novel,Predicted theoretical compound,No
Ether+Heterocycle,Unknown,Low,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Amide+Nitrile,Unknown,Medium,High,High,0.68,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Amide+Halide+Heterocycle,Unknown,High,High,High,0.61,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Low,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.88,Seen,Rule-consistent known chemical class,Yes
Ether+Nitrile+Sulfide,Unknown,Medium,Medium,Medium,0.56,Novel,Predicted theoretical compound,No
Amide,Unknown,Medium,High,High,0.59,Novel,Predicted theoretical compound,No
Alcohol+Amide+Nitro,Unknown,High,Low,High,0.64,Novel,Predicted theoretical compound,No
Alkyne+Heterocycle+Sulfide,Unknown,Medium,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Low,High,Medium,0.53,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Carboxylic Acid+Nitrile+Sulfonamide,Unknown,Medium,High,Medium,0.5,Novel,Predicted theoretical compound,No
Ether+Halide,Unknown,High,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Ether,Unknown,Medium,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Amide,Unknown,Low,High,High,0.43,Novel,Predicted theoretical compound,No
Acid Chloride+Thiol,Unknown,Medium,Low,Low,0.44,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Low,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.58,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Medium,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Alkyne+Ester,Unknown,Medium,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Alkene+Amide+Amine,Unknown,Low,High,High,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Ether,Unknown,Medium,Medium,Low,0.52,Novel,Predicted theoretical compound,No
Phenol+Sulfide+Sulfonamide,Unknown,Medium,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Ketone+Phenol+Sulfide,Unknown,Medium,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Alkene+Carboxylic Acid,Unknown,Low,High,Medium,0.65,Novel,Predicted theoretical compound,No
Aldehyde+Ester,Unknown,Medium,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Low,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Thiol,Thiol Compound,Medium,Medium,Medium,0.85,Seen,Rule-consistent known chemical class,Yes
Ether,Unknown,Low,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Alcohol+Ether+Sulfonamide,Unknown,Medium,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Aldehyde+Nitro,Unknown,High,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Alcohol+Thiol,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Aldehyde+Nitrile,Unknown,Medium,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Amide+Phenol+Sulfonamide,Unknown,Low,High,High,0.54,Novel,Predicted theoretical compound,No
Alkyne+Nitrile+Nitro,Unknown,Medium,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Acid Chloride+Aromatic Ring,Unknown,Medium,Low,High,0.69,Novel,Predicted theoretical compound,No
Amine+Ether+Thiol,Unknown,Medium,Medium,Medium,0.51,Novel,Predicted theoretical compound,No
Alkyne+Amide,Unknown,Low,High,High,0.43,Novel,Predicted theoretical compound,No
Alkyne+Nitrile,Unknown,Medium,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Ether+Nitrile+Sulfide,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Medium,Low,Low,0.85,Seen,Rule-consistent known chemical class,Yes
Ester+Nitro,Unknown,High,Low,Medium,0.64,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Medium,Medium,0.76,Seen,Rule-consistent known chemical class,Yes
Alkene+Halide+Phenol,Unknown,High,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Amide+Amine,Unknown,Low,High,High,0.61,Novel,Predicted theoretical compound,No
Ether+Halide+Nitro,Unknown,High,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Alcohol,Ether,Low,Medium,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Alcohol+Ketone,Unknown,Low,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Alkyne+Heterocycle,Unknown,Medium,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.45,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Low,Medium,0.53,Novel,Predicted theoretical compound,No
Amine+Ester+Ether,Unknown,Medium,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Nitro+Thiol,Unknown,High,Low,High,0.64,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Low,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Alkyne+Ketone+Phenol,Unknown,Low,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Carboxylic Acid+Ketone+Nitro,Unknown,High,High,Medium,0.6,Novel,Predicted theoretical compound,No
